event;date
first anwerbeabkommen;20.12.1955
Ratifizierung der Ostverträge;17.05.1972
Oktoberfestanschlag;26.09.1980
Brandanschlag Duisburg-Wanheimerort;27.08.1984
Schengen Abkommen (1);14.06.1985
German Reunification;03.10.1990
Violent crime series (starting in Schwerin);11.03.1991
Ausschreitungen Rostock-Lichtenhagen;22.08.1992
"Grundgesetzänderung ""Drittstaaten""";23.05.1993
Mordanschlag Solingen;29.05.1993
Lübecker Brandanschlag;18.01.1996
nine-eleven;11.09.2001
Madrid Train Bombings;11.03.2004
Nagelbombenanschlag Köln;09.06.2004
New Immigration Act takes effect;01.01.2005
uncovering of NSU;04.11.2011
Paris terrorist attacks;23.10.2015
New year's eve Cologne;31.12.2015
Brussel bombing attacks;22.03.2016
Munich terrorist attack;22.07.2016
Breitscheitplatz terrorist attack;19.12.2016
AfD enters Bundestag;25.09.2017
Murder of Walter Lübcke;01.06.2019
Hanau terrorist attack;19.02.2020
